,0,1,2,3,4,5,6,7
0,1,普锐斯,5015,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201401
1,2,比亚迪e6,126,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201401
2,3,荣威E50,3,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201401
0,1,比亚迪e6,238,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201402
1,2,普锐斯,152,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201402
0,1,比亚迪e6,255,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201403
1,2,普锐斯,97,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201403
2,3,荣威E50,1,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201403
0,1,普锐斯,4126,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201404
1,2,比亚迪e6,262,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201404
0,1,普锐斯,3689,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201405
1,2,比亚迪e6,253,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201405
2,3,荣威E50,8,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201405
0,1,普锐斯,4607,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201406
1,2,比亚迪e6,257,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201406
2,3,荣威E50,1,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201406
0,1,比亚迪e6,3664,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201407
1,2,普锐斯,2715,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201407
0,1,普锐斯,2965,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201408
1,2,比亚迪e6,212,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201408
2,3,荣威E50,8,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201408
0,1,普锐斯,2520,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201409
1,2,比亚迪e6,195,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201409
2,3,晨风,85,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201409
0,1,普锐斯,2080,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201410
1,2,比亚迪e6,199,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201410
2,3,晨风,90,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201410
3,4,荣威E50,42,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201410
4,5,云100,18,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201410
0,1,普锐斯,1872,一汽丰田,0.00,0.00,https://www.16888.com/57512/options/,201411
1,2,众泰Z500新能源,912,众泰新能源,0.00,0.00,https://www.16888.com/126703/options/,201411
2,3,荣威e550,335,上汽集团,0.00,0.00,https://www.16888.com/127264/options/,201411
3,4,比亚迪e6,229,比亚迪,0.00,0.00,https://www.16888.com/57330/options/,201411
4,5,晨风,102,东风启辰,24.28,26.18,https://www.16888.com/126590/options/,201411
5,6,云100,69,众泰新能源,0.00,0.00,https://www.16888.com/126716/options/,201411
6,7,荣威E50,4,上汽集团,0.00,0.00,https://www.16888.com/126231/options/,201411
